loc_rowid,pl_hostname,pl_name,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassprov,st_dist,st_disterr1,st_disterr2,st_distlim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_telescope,pl_mnum,pl_disc,rowupdate
1,11 Com,11 Com b,1,326.03000000,0.32000000,-0.32000000,0,0.231000,0.005000,-0.005000,0,,,,,Msini,93.37,1.92,-1.92,0,,,,,6165.60000,476.70000,-476.70000,0,,,,,2.16 m Telescope,0,2007,2014-05-14
2,11 UMi,11 UMi b,1,516.21997000,3.20000000,-3.20000000,0,0.080000,0.030000,-0.030000,0,,,,0,Msini,125.72,1.97,-1.97,0,,,,0,4684.81420,794.57500,-794.57500,0,,,,0,2.0 m Alfred Jensch Telescope,0,2009,2018-09-06
3,14 And,14 And b,1,185.84000000,0.23000000,-0.23000000,0,0.000000,,,0,,,,,Msini,75.59,0.71,-0.71,0,,,,,1525.50000,,,0,,,,,1.88 m Telescope,0,2008,2014-05-14
4,14 Her,14 Her b,1,1773.40002000,2.50000000,-2.50000000,0,0.370000,0.000000,0.000000,0,,,,0,Msini,17.94,0.01,-0.01,0,,,,0,1481.08780,47.67450,-47.67450,0,,,,0,10 m Keck I Telescope,0,2002,2018-09-06
5,16 Cyg B,16 Cyg B b,1,798.50000000,1.00000000,-1.00000000,0,0.680000,0.020000,-0.020000,0,,,,0,Msini,21.15,0.01,-0.01,0,,,,0,565.73740,25.42640,-25.42640,0,,,,0,Multiple Telescopes,0,1996,2018-09-06
6,18 Del,18 Del b,1,993.30000000,3.20000000,-3.20000000,0,0.080000,0.010000,-0.010000,0,,,,,Msini,76.38,0.62,-0.62,0,,,,,3273.50000,,,0,,,,,1.88 m Telescope,0,2008,2014-05-14
7,1RXS J160929.1-210524,1RXS J160929.1-210524 b,1,,,,,,,,,,,,,Mass,145.00,14.00,-14.00,0,1700,100,-100,0,3000.00000,300.00000,-300.00000,0,,,,,8.19 m Gemini North Telescope,0,2008,2015-04-01
8,24 Boo,24 Boo b,1,30.35060000,0.00780000,-0.00770000,0,0.042000,0.048000,-0.029000,0,,,,0,Msini,96.25,0.64,-0.64,0,,,,0,289.22530,41.31790,-31.78300,0,,,,0,1.88 m Telescope,0,2018,2018-04-26
9,24 Sex,24 Sex b,2,452.80000000,2.10000000,-4.50000000,0,0.090000,0.140000,-0.060000,0,,,,,Msini,72.21,0.68,-0.68,0,,,,,632.46000,82.63000,-120.77000,0,,,,,3.0 m C. Donald Shane Telescope,0,2010,2014-05-14
10,24 Sex,24 Sex c,2,883.00000000,32.40000000,-13.80000000,0,0.290000,0.160000,-0.090000,0,,,,,Msini,72.21,0.68,-0.68,0,,,,,273.32000,111.24000,-69.92000,0,,,,,3.0 m C. Donald Shane Telescope,0,2010,2014-05-14
11,2MASS J01225093-2439505,2MASS J01225093-2439505 b,1,,,,,,,,,,,,,Mass,36.00,4.00,-4.00,0,,,,,7786.50000,794.50000,-794.50000,0,,,,,10 m Keck II Telescope,0,2013,2014-05-14
12,2MASS J02192210-3925225,2MASS J02192210-3925225 b,1,,,,,,,,,,,,,Mass,39.40,2.60,-2.60,0,,,,,4417.83700,349.61300,-349.61300,0,16.141,0.336,-0.336,0,1.5 m CTIO Telescope,0,2015,2015-05-14
13,2MASS J04414489+2301513,2MASS J04414489+2301513 b,1,,,,,,,,,,,,,Mass,140.00,,,0,,,,,2383.60000,794.50000,-794.50000,0,,,,,2.4 m Hubble Space Telescope,0,2010,2014-05-14
14,2MASS J12073346-3932539,2MASS J12073346-3932539 b,1,,,,,,,,,,,,,Mass,64.42,0.65,-0.65,0,1150,150,-150,0,1271.00000,318.00000,-318.00000,0,,,,,8.2 m ESO VLT UT4 Yepun Telescope,0,2004,2014-05-14
15,2MASS J19383260+4603591,2MASS J19383260+4603591 b,1,416.00000000,2.00000000,-2.00000000,0,,,,,,,,,Mass,400.77,6.48,-6.48,0,,,,,603.87700,31.78300,-31.78300,0,,,,,0.95 m Kepler Telescope,0,2015,2015-06-04
16,2MASS J21402931+1625183 A,2MASS J21402931+1625183 A b,1,7336.50000000,1934.50000000,-584.00000000,0,0.260000,0.060000,-0.060000,0,46.200,2.500,-8.700,0,Mass,25.00,10.00,-10.00,0,2075,70,-70,0,6657.48000,26629.91000,-6657.48000,0,10.310,4.370,-4.040,0,10 m Keck II Telescope,0,2009,2014-05-14
17,2MASS J22362452+4751425,2MASS J22362452+4751425 b,1,,,,,,,,,,,,,Mass,74.00,10.00,-10.00,0,,,,,3972.87500,476.74500,-476.74500,0,,,,,10 m Keck II Telescope,0,2016,2016-11-10
18,30 Ari B,30 Ari B b,1,335.10001000,2.50000000,-2.50000000,0,0.290000,0.090000,-0.090000,0,,,,0,Msini,44.71,0.10,-0.10,0,,,,0,4392.41060,572.09400,-572.09400,0,,,,0,2.0 m Alfred Jensch Telescope,0,2009,2018-09-06
19,4 UMa,4 UMa b,1,269.30000000,1.96000000,-1.96000000,0,0.432000,0.024000,-0.024000,0,,,,,Msini,73.58,1.18,-1.18,0,,,,,2256.50000,508.50000,-508.50000,0,,,,,2.0 m Alfred Jensch Telescope,0,2006,2014-05-14
20,42 Dra,42 Dra b,1,479.10000000,6.20000000,-6.20000000,0,0.380000,0.060000,-0.060000,0,,,,,Msini,90.86,1.32,-1.32,0,,,,,1233.13000,270.14000,-270.14000,0,,,,,2.0 m Alfred Jensch Telescope,0,2008,2014-05-14
